"pokemon_id","pokemon_number","pokemon_name","german_name","generation","status","pokemon_type","height_m","weight_kg","ability","total_points","hp","attack","defense","sp_attack","sp_defense","speed","growth_rate","egg_type","egg_cycles","against_normal","against_fire","against_water","against_electric","against_grass","against_ice","against_fight","against_poison","against_ground","against_flying","against_psychic","against_bug","against_rock","against_ghost","agains_dragon","against_dark","against_steel","against_fairy"
0,1,"Bulbasaur","Bisasam",1,"Normal","Grass",0.7,6.9,"Overgrow",318,45,49,49,65,65,45,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
1,2,"Ivysaur","Bisaknosp",1,"Normal","Grass",1,13,"Overgrow",405,60,62,63,80,80,60,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,3,"Venusaur","Bisaflor",1,"Normal","Grass",2,100,"Overgrow",525,80,82,83,100,100,80,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,3,"Mega Venusaur","Bisaflor",1,"Normal","Grass",2.4,155.5,"Thick Fat",625,80,100,123,122,120,80,"Medium Slow","Grass",20,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,4,"Charmander","Glumanda",1,"Normal","Fire",0.6,8.5,"Blaze",309,39,52,43,60,50,65,"Medium Slow","Dragon",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,5,"Charmeleon","Glutexo",1,"Normal","Fire",1.1,19,"Blaze",405,58,64,58,80,65,80,"Medium Slow","Dragon",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,6,"Charizard","Glurak",1,"Normal","Fire",1.7,90.5,"Blaze",534,78,84,78,109,85,100,"Medium Slow","Dragon",20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,6,"Mega Charizard X","Glurak",1,"Normal","Fire",1.7,110.5,"Tough Claws",634,78,130,111,130,85,100,"Medium Slow","Dragon",20,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
8,6,"Mega Charizard Y","Glurak",1,"Normal","Fire",1.7,100.5,"Drought",634,78,104,78,159,115,100,"Medium Slow","Dragon",20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
9,7,"Squirtle","Schiggy",1,"Normal","Water",0.5,9,"Torrent",314,44,48,65,50,64,43,"Medium Slow","Monster",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
